Layer Number,Layer Name,Min Singular Value,Max Singular Value,Mean Singular Value,Median Singular Value
11,self_attn.q_proj,2.5236086e-05,3.9862602,0.62117463,0.44805068
11,self_attn.k_proj,0.09879878,2.8049629,0.8662435,0.75070024
11,self_attn.v_proj,0.14753507,1.2364229,0.5279453,0.4985857
11,self_attn.o_proj,0.0001267145,3.4356558,0.5002043,0.40207684
11,mlp.gate_proj,0.24312104,6.251354,1.1730813,1.0899785
11,mlp.up_proj,0.273146,4.110538,1.3260748,1.2672253
11,mlp.down_proj,0.40115172,6.756325,1.2829568,1.2053967
12,self_attn.q_proj,3.3259817e-05,4.1033993,0.5915852,0.40142035
12,self_attn.k_proj,0.10332917,2.4024458,0.80173546,0.6656358
12,self_attn.v_proj,0.120111845,1.2262549,0.4632778,0.4242702
12,self_attn.o_proj,2.7987871e-05,3.2657714,0.45809504,0.34953067
12,mlp.gate_proj,0.22648242,6.398717,1.1612169,1.0774131
12,mlp.up_proj,0.26662552,4.0184574,1.3258381,1.2681572
12,mlp.down_proj,0.35138604,6.949995,1.2799902,1.1933823
13,self_attn.q_proj,5.7021232e-05,3.714941,0.6183139,0.4534553
13,self_attn.k_proj,0.10173983,2.5811546,0.8113088,0.7077348
13,self_attn.v_proj,0.17388706,1.2618712,0.5619738,0.5397334
13,self_attn.o_proj,7.2601964e-05,3.6139047,0.51811033,0.42325258
13,mlp.gate_proj,0.2300994,6.0353336,1.1542594,1.0676179
13,mlp.up_proj,0.24606858,3.9529777,1.3266232,1.2681942
13,mlp.down_proj,0.34917748,6.769216,1.2752619,1.184768
14,self_attn.q_proj,0.00012212411,3.7648976,0.5892916,0.43381345
14,self_attn.k_proj,0.08784142,2.687284,0.7385943,0.6072726
14,self_attn.v_proj,0.10300647,1.3665979,0.5980046,0.561989
14,self_attn.o_proj,2.5180705e-05,3.7106435,0.5317031,0.42349654
14,mlp.gate_proj,0.22292751,6.300479,1.1514356,1.0662203
14,mlp.up_proj,0.25497395,4.4135823,1.3366818,1.2744007
14,mlp.down_proj,0.40438074,6.9146557,1.2953918,1.2183927
15,self_attn.q_proj,6.19456e-05,3.8274753,0.6141852,0.46632248
15,self_attn.k_proj,0.10391542,2.840764,0.7709114,0.6604552
15,self_attn.v_proj,0.18521833,1.1752665,0.62237966,0.6071658
15,self_attn.o_proj,9.161717e-06,3.9261107,0.54917765,0.4616605
15,mlp.gate_proj,0.22784677,5.7494154,1.1566421,1.0762999
15,mlp.up_proj,0.26802838,4.618024,1.3345468,1.2713277
15,mlp.down_proj,0.46675694,6.468244,1.2923005,1.2130202
16,self_attn.q_proj,3.3812867e-05,4.109151,0.6171498,0.4671154
