Layer Number,Layer Name,Rank,Effective Rank
22,self_attn.v_proj,1024,1024
22,self_attn.o_proj,4096,4096
22,mlp.gate_proj,4096,4096
22,mlp.up_proj,4096,4096
22,mlp.down_proj,4096,4096
23,self_attn.q_proj,4096,4096
23,self_attn.k_proj,1024,1024
23,self_attn.v_proj,1024,1024
23,self_attn.o_proj,4096,4096
23,mlp.gate_proj,4096,4096
23,mlp.up_proj,4096,4096
23,mlp.down_proj,4096,4096
24,self_attn.q_proj,4096,4096
24,self_attn.k_proj,1024,1024
24,self_attn.v_proj,1024,1022
24,self_attn.o_proj,4096,4096
24,mlp.gate_proj,4096,4096
24,mlp.up_proj,4096,4096
24,mlp.down_proj,4096,4096
25,self_attn.q_proj,4096,4096
25,self_attn.k_proj,1024,1024
25,self_attn.v_proj,1024,1024
25,self_attn.o_proj,4096,4096
25,mlp.gate_proj,4096,4096
25,mlp.up_proj,4096,4096
25,mlp.down_proj,4096,4096
26,self_attn.q_proj,4096,4096
26,self_attn.k_proj,1024,1024
26,self_attn.v_proj,1024,1024
26,self_attn.o_proj,4096,4096
26,mlp.gate_proj,4096,4096
26,mlp.up_proj,4096,4096
26,mlp.down_proj,4096,4096
27,self_attn.q_proj,4096,4096
27,self_attn.k_proj,1024,1024
27,self_attn.v_proj,1024,1022
27,self_attn.o_proj,4096,4096
27,mlp.gate_proj,4096,4096
27,mlp.up_proj,4096,4096
27,mlp.down_proj,4096,4096
28,self_attn.q_proj,4096,4096
28,self_attn.k_proj,1024,1024
28,self_attn.v_proj,1024,1024
28,self_attn.o_proj,4096,4096
28,mlp.gate_proj,4096,4096
28,mlp.up_proj,4096,4096
28,mlp.down_proj,4096,4096
29,self_attn.q_proj,4096,4096
29,self_attn.k_proj,1024,1024
29,self_attn.v_proj,1024,1024
29,self_attn.o_proj,4096,4096
29,mlp.gate_proj,4096,4096
29,mlp.up_proj,4096,4096
29,mlp.down_proj,4096,4096
30,self_attn.q_proj,4096,4096
30,self_attn.k_proj,1024,1024
30,self_attn.v_proj,1024,1024
30,self_attn.o_proj,4096,4096
30,mlp.gate_proj,4096,4096
30,mlp.up_proj,4096,4096
30,mlp.down_proj,4096,4096
31,self_attn.q_proj,4096,4096
31,self_attn.k_proj,1024,1024
31,self_attn.v_proj,1024,1024
