Layer Number,Layer Name,Effective Rank
23,self_attn.q_proj,3247.2185
23,self_attn.k_proj,953.64044
23,self_attn.v_proj,668.66736
23,self_attn.o_proj,683.13165
23,mlp.gate_proj,3815.8682
23,mlp.up_proj,3858.3967
23,mlp.down_proj,3863.648
24,self_attn.q_proj,3269.9604
24,self_attn.k_proj,969.3974
24,self_attn.v_proj,679.4701
24,self_attn.o_proj,694.7956
24,mlp.gate_proj,3821.961
24,mlp.up_proj,3864.3406
24,mlp.down_proj,3856.1416
25,self_attn.q_proj,3198.958
25,self_attn.k_proj,948.0803
25,self_attn.v_proj,979.937
25,self_attn.o_proj,3221.0881
25,mlp.gate_proj,3829.689
25,mlp.up_proj,3870.0383
25,mlp.down_proj,3852.3962
26,self_attn.q_proj,3270.4468
26,self_attn.k_proj,969.2726
26,self_attn.v_proj,689.77014
26,self_attn.o_proj,707.1108
26,mlp.gate_proj,3834.0703
26,mlp.up_proj,3875.068
26,mlp.down_proj,3840.467
27,self_attn.q_proj,3266.6938
27,self_attn.k_proj,966.7308
27,self_attn.v_proj,736.5357
27,self_attn.o_proj,755.744
27,mlp.gate_proj,3836.6086
27,mlp.up_proj,3879.5684
27,mlp.down_proj,3825.2832
28,self_attn.q_proj,3185.1953
28,self_attn.k_proj,951.7107
28,self_attn.v_proj,977.10767
28,self_attn.o_proj,3197.8936
28,mlp.gate_proj,3845.4075
28,mlp.up_proj,3882.9592
28,mlp.down_proj,3812.3684
29,self_attn.q_proj,3252.9404
29,self_attn.k_proj,954.7652
29,self_attn.v_proj,942.0472
29,self_attn.o_proj,970.4218
29,mlp.gate_proj,3850.0898
29,mlp.up_proj,3886.097
29,mlp.down_proj,3795.2612
30,self_attn.q_proj,3111.897
30,self_attn.k_proj,938.13605
30,self_attn.v_proj,970.9351
30,self_attn.o_proj,3123.9517
30,mlp.gate_proj,3852.1685
30,mlp.up_proj,3886.612
30,mlp.down_proj,3792.1135
31,self_attn.q_proj,2994.6377
31,self_attn.k_proj,911.58997
31,self_attn.v_proj,958.8467
31,self_attn.o_proj,3009.0232
31,mlp.gate_proj,3850.3838
31,mlp.up_proj,3883.833
31,mlp.down_proj,3799.817
32,self_attn.q_proj,2938.1172
32,self_attn.k_proj,905.8655
32,self_attn.v_proj,962.4435
32,self_attn.o_proj,3017.0862
